Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
Replit 100 Days of Python: Day 37,09/22/2024,01:00 PM,09/22/2024,02:00 PM,False,"Tutorial Video (YouTube): 7:59
Solution Video (YouTube): 6:54
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 38,09/23/2024,01:00 PM,09/23/2024,02:00 PM,False,"Tutorial Video (YouTube): 5:02
Solution Video (YouTube): 4:00
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 39,09/24/2024,01:00 PM,09/24/2024,02:00 PM,False,"Tutorial Video (YouTube): 3:06
Solution Video (YouTube): 10:51
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 40,09/25/2024,01:00 PM,09/25/2024,02:00 PM,False,"Tutorial Video (YouTube): 8:32
Solution Video (YouTube): 6:54
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 41,09/26/2024,01:00 PM,09/26/2024,02:00 PM,False,"Tutorial Video (YouTube): 6:09
Solution Video (YouTube): 3:27
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 42,09/27/2024,01:00 PM,09/27/2024,02:00 PM,False,"Tutorial Video (YouTube): 3:22
Solution Video (YouTube): 7:17
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 43,09/28/2024,01:00 PM,09/28/2024,02:00 PM,False,"Tutorial Video (YouTube): 8:42
Solution Video (YouTube): 5:03
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 44,09/29/2024,01:00 PM,09/29/2024,02:00 PM,False,"Tutorial Video (YouTube): 10:24
Solution Video (YouTube): 7:02
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 45,09/30/2024,01:00 PM,09/30/2024,02:00 PM,False,"Tutorial Video (YouTube): 2:40
Solution Video (YouTube): 8:23
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 46,10/01/2024,01:00 PM,10/01/2024,02:00 PM,False,"Tutorial Video (YouTube): 7:14
Solution Video (YouTube): 6:12
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 47,10/02/2024,01:00 PM,10/02/2024,02:00 PM,False,"Tutorial Video (YouTube): 2:55
Solution Video (YouTube): 8:28
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 48,10/03/2024,01:00 PM,10/03/2024,02:00 PM,False,"Tutorial Video (YouTube): 11:05
Solution Video (YouTube): 2:19
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 49,10/04/2024,01:00 PM,10/04/2024,02:00 PM,False,"Tutorial Video (YouTube): 6:56
Solution Video (YouTube): 3:24
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 50,10/05/2024,01:00 PM,10/05/2024,02:00 PM,False,"Tutorial Video (YouTube): 2:42
Solution Video (YouTube): 4:23
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 51,10/06/2024,01:00 PM,10/06/2024,02:00 PM,False,"Tutorial Video (YouTube): 8:38
Solution Video (YouTube): 2:12
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 52,10/07/2024,01:00 PM,10/07/2024,02:00 PM,False,"Tutorial Video (YouTube): 7:39
Solution Video (YouTube): 9:37
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 53,10/08/2024,01:00 PM,10/08/2024,02:00 PM,False,"Tutorial Video (YouTube): 1:24
Solution Video (YouTube): 9:05
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 54,10/09/2024,01:00 PM,10/09/2024,02:00 PM,False,"Tutorial Video (YouTube): 7:37
Solution Video (YouTube): 2:06
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 55,10/10/2024,01:00 PM,10/10/2024,02:00 PM,False,"Tutorial Video (YouTube): 5:16
Solution Video (YouTube): 2:30
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 56,10/11/2024,01:00 PM,10/11/2024,02:00 PM,False,"Tutorial Video (YouTube): 1:24
Solution Video (YouTube): 6:51
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 57,10/12/2024,01:00 PM,10/12/2024,02:00 PM,False,"Tutorial Video (YouTube): 8:02
Solution Video (YouTube): 1:45
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 58,10/13/2024,01:00 PM,10/13/2024,02:00 PM,False,"Tutorial Video (YouTube): 6:00
Solution Video (YouTube): 4:02
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 59,10/14/2024,01:00 PM,10/14/2024,02:00 PM,False,"Tutorial Video (YouTube): 1:31
Solution Video (YouTube): 3:41
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 60,10/15/2024,01:00 PM,10/15/2024,02:00 PM,False,"Tutorial Video (YouTube): 11:43
Solution Video (YouTube): 2:18
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 61,10/16/2024,01:00 PM,10/16/2024,02:00 PM,False,"Tutorial Video (YouTube): 9:49
Solution Video (YouTube): 7:07
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 62,10/17/2024,01:00 PM,10/17/2024,02:00 PM,False,"Tutorial Video (YouTube): 2:01
Solution Video (YouTube): 8:18
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 63,10/18/2024,01:00 PM,10/18/2024,02:00 PM,False,"Tutorial Video (YouTube): 7:50
Solution Video (YouTube): 1:42
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 64,10/19/2024,01:00 PM,10/19/2024,02:00 PM,False,"Tutorial Video (YouTube): 12:22
Solution Video (YouTube): 8:19
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 65,10/20/2024,01:00 PM,10/20/2024,02:00 PM,False,"Tutorial Video (YouTube): 2:02
Solution Video (YouTube): 10:10
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 66,10/21/2024,01:00 PM,10/21/2024,02:00 PM,False,"Tutorial Video (YouTube): 12:43
Solution Video (YouTube): 14:19
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 67,10/22/2024,01:00 PM,10/22/2024,02:00 PM,False,"Tutorial Video (YouTube): 7:11
Solution Video (YouTube): 8:04
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 68,10/23/2024,01:00 PM,10/23/2024,02:00 PM,False,"Tutorial Video (YouTube): 5:07
Solution Video (YouTube): 2:56
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 69,10/24/2024,01:00 PM,10/24/2024,02:00 PM,False,"Tutorial Video (YouTube): 2:07
Solution Video (YouTube): 18:13
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 70,10/25/2024,01:00 PM,10/25/2024,02:00 PM,False,"Tutorial Video (YouTube): 5:44
Solution Video (YouTube): 2:31
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 71,10/26/2024,01:00 PM,10/26/2024,02:00 PM,False,"Tutorial Video (YouTube): 8:38
Solution Video (YouTube): 7:59
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 72,10/27/2024,01:00 PM,10/27/2024,02:00 PM,False,"Tutorial Video (YouTube): 2:13
Solution Video (YouTube): 8:57
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 73,10/28/2024,01:00 PM,10/28/2024,02:00 PM,False,"Tutorial Video (YouTube): 17:44
Solution Video (YouTube): 3:32
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 74,10/29/2024,01:00 PM,10/29/2024,02:00 PM,False,"Tutorial Video (YouTube): 10:05
Solution Video (YouTube): 4:16
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 75,10/30/2024,01:00 PM,10/30/2024,02:00 PM,False,"Tutorial Video (YouTube): 2:29
Solution Video (YouTube): 5:57
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 76,10/31/2024,01:00 PM,10/31/2024,02:00 PM,False,"Tutorial Video (YouTube): 12:08
Solution Video (YouTube): 4:12
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 77,11/01/2024,01:00 PM,11/01/2024,02:00 PM,False,"Tutorial Video (YouTube): 11:11
Solution Video (YouTube): 4:41
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 78,11/02/2024,01:00 PM,11/02/2024,02:00 PM,False,"Tutorial Video (YouTube): 2:44
Solution Video (YouTube): 7:12
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 79,11/03/2024,01:00 PM,11/03/2024,02:00 PM,False,"Tutorial Video (YouTube): 7:57
Solution Video (YouTube): 1:53
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 80,11/04/2024,01:00 PM,11/04/2024,02:00 PM,False,"Tutorial Video (YouTube): 6:27
Solution Video (YouTube): 4:30
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 81,11/05/2024,01:00 PM,11/05/2024,02:00 PM,False,"Tutorial Video (YouTube): 2:02
Solution Video (YouTube): 5:54
Challenge (Replit): ",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 82,11/06/2024,01:00 PM,11/06/2024,02:00 PM,False,"Tutorial Video (YouTube): 5:26
Solution Video (YouTube): 2:35
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 83,11/07/2024,01:00 PM,11/07/2024,02:00 PM,False,"Tutorial Video (YouTube): 1:58
Solution Video (YouTube): 4:00
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 84,11/08/2024,01:00 PM,11/08/2024,02:00 PM,False,"Tutorial Video (YouTube): 9:48
Solution Video (YouTube): 9:01
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 85,11/09/2024,01:00 PM,11/09/2024,02:00 PM,False,"Tutorial Video (YouTube): 11:11
Solution Video (YouTube): 5:23
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 86,11/10/2024,01:00 PM,11/10/2024,02:00 PM,False,"Tutorial Video (YouTube): 2:22
Solution Video (YouTube): 20:19
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 87,11/11/2024,01:00 PM,11/11/2024,02:00 PM,False,"Tutorial Video (YouTube): 4:04
Solution Video (YouTube): 4:54
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 88,11/12/2024,01:00 PM,11/12/2024,02:00 PM,False,"Tutorial Video (YouTube): 6:45
Solution Video (YouTube): 5:46
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 89,11/13/2024,01:00 PM,11/13/2024,02:00 PM,False,"Tutorial Video (YouTube): 2:32
Solution Video (YouTube): 22:33
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 90,11/14/2024,01:00 PM,11/14/2024,02:00 PM,False,"Tutorial Video (YouTube): 8:30
Solution Video (YouTube): 5:10
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 91,11/15/2024,01:00 PM,11/15/2024,02:00 PM,False,"Tutorial Video (YouTube): 5:04
Solution Video (YouTube): 6:10
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 92,11/16/2024,01:00 PM,11/16/2024,02:00 PM,False,"Tutorial Video (YouTube): 
Solution Video (YouTube): 4:16
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 93,11/17/2024,01:00 PM,11/17/2024,02:00 PM,False,"Tutorial Video (YouTube): 10:00
Solution Video (YouTube): 22:03
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 94,11/18/2024,01:00 PM,11/18/2024,02:00 PM,False,"Tutorial Video (YouTube): 9:03
Solution Video (YouTube): 7:13
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 95,11/19/2024,01:00 PM,11/19/2024,02:00 PM,False,"Tutorial Video (YouTube): 2:35
Solution Video (YouTube): 13:50
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 96,11/20/2024,01:00 PM,11/20/2024,02:00 PM,False,"Tutorial Video (YouTube): 
Solution Video (YouTube): 7:32
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 97,11/21/2024,01:00 PM,11/21/2024,02:00 PM,False,"Tutorial Video (YouTube): 
Solution Video (YouTube): 
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 98,11/22/2024,01:00 PM,11/22/2024,02:00 PM,False,"Tutorial Video (YouTube): 11:00
Solution Video (YouTube): 7:00
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 99,11/23/2024,01:00 PM,11/23/2024,02:00 PM,False,"Tutorial Video (YouTube): 2:21
Solution Video (YouTube): 13:45
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 100,11/24/2024,01:00 PM,11/24/2024,02:00 PM,False,"Tutorial Video (YouTube): 4:29
Solution Video (YouTube): 11:47
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
